company,price_cad,diameter_in,topping,variant,size,extra_sauce,extra_cheese,extra_mushrooms
B,12,12,mozzarella,classic,medium,yes,yes,yes
B,14,14,chicken,classic,large,yes,yes,no
B,15,12,chicken,crunchy,medium,no,no,no
B,18,17,mushrooms,new_york,XL,yes,no,no
B,19,12,smoked_beef,double_decker,medium,yes,no,no
B,15,8.5,smoked_beef,classic,small,yes,yes,no
B,12,12,mushrooms,classic,medium,yes,yes,no
B,14,14,mozzarella,classic,large,yes,yes,no
B,12,12,smoked_beef,crunchy,medium,no,yes,no
B,15,17,chicken,new_york,XL,no,yes,no
B,16,12,mushrooms,double_decker,medium,no,yes,no
C,11,8.5,tuna,spicy_tuna,small,yes,yes,yes
C,14,12,tuna,spicy_tuna,medium,yes,yes,yes
C,17,14,tuna,spicy_tuna,large,yes,yes,yes
C,12,8.5,meat,BBQ_meat_fiesta,small,yes,no,yes
C,15,12,meat,BBQ_meat_fiesta,medium,no,no,no
C,17,14,meat,BBQ_meat_fiesta,large,yes,no,yes
C,11,8.5,sausage,BBQ_sausage,small,no,yes,yes
C,14,12,sausage,BBQ_sausage,medium,yes,yes,no
C,17,14,sausage,BBQ_sausage,large,no,yes,no
C,11,8.5,mushrooms,extravaganza,small,yes,yes,no
C,13,12,onion,extravaganza,medium,yes,yes,no
C,17,14,mozzarella,extravaganza,large,yes,yes,yes
C,11,8.5,meat,meat_eater,small,yes,yes,yes
C,13,12,meat,meat_eater,medium,yes,yes,yes
C,17,14,meat,meat_eater,large,yes,yes,no
C,12,8.5,vegetables,gournet_greek,small,no,no,no
C,15,12,vegetables,gournet_greek,medium,no,no,no
C,17,14,vegetables,gournet_greek,large,no,no,no
C,10,8.5,vegetables,italian_veggie,small,no,yes,no
C,12,12,vegetables,italian_veggie,medium,no,yes,no
C,15,14,vegetables,italian_veggie,large,yes,yes,no
C,11,8.5,vegetables,thai_veggie,small,no,yes,yes
C,14,12,vegetables,thai_veggie,medium,yes,no,yes
C,17,14,vegetables,thai_veggie,large,no,no,yes
C,11,8.5,beef,american_classic,small,yes,no,yes
C,13,12,beef,american_classic,medium,yes,no,yes
C,17,14,beef,american_classic,large,yes,no,yes
C,11,8.5,tuna,neptune_tuna,small,yes,no,yes
C,13,12,tuna,neptune_tuna,medium,yes,yes,no
C,16,14,tuna,neptune_tuna,large,yes,yes,no
D,20,18.5,mozzarella,meat_lovers,jumbo,no,yes,no
D,18,16,smoked_beef,meat_lovers,jumbo,no,yes,no
D,14,8,chicken,meat_lovers,regular,yes,yes,no
D,16,12,mushrooms,meat_lovers,regular,yes,yes,no
D,16,12,mozzarella,meat_lovers,regular,yes,yes,no
D,28,22,chicken,double_mix,jumbo,yes,yes,yes
D,25,18.5,mushrooms,double_mix,jumbo,yes,yes,yes
D,18,14,chicken,double_mix,regular,yes,yes,yes
D,21,16.5,smoked_beef,double_mix,regular,yes,no,yes
D,21,16.5,chicken,double_mix,regular,yes,no,yes
D,10,8.5,mozzarella,classic,small,yes,no,yes
D,12,12,chicken,classic,medium,yes,no,yes
D,14,14,smoked_beef,classic,large,yes,no,yes
D,12,12,mozzarella,crunchy,medium,no,no,yes
D,15,17,chicken,new_york,XL,no,yes,yes
D,16,12,chicken,double_decker,medium,no,yes,no
D,11,8.5,mushrooms,classic,small,yes,yes,no
D,14,12,chicken,classic,medium,no,yes,no
D,16,14,mushrooms,classic,large,no,yes,no
D,15,12,mushrooms,crunchy,medium,no,yes,yes
E,18,17,mozzarella,new_york,XL,no,yes,yes
E,10,8.5,mozzarella,classic,small,yes,no,yes
E,12,12,chicken,classic,medium,yes,no,yes
E,14,14,smoked_beef,classic,large,yes,no,no
E,12,12,mozzarella,crunchy,medium,no,no,no
E,15,17,chicken,new_york,XL,no,yes,no
E,16,12,chicken,double_decker,medium,no,yes,no
E,11,8.5,mushrooms,classic,small,yes,yes,no
E,14,12,chicken,classic,medium,no,yes,yes
E,16,14,mushrooms,classic,large,no,yes,yes
E,15,12,mushrooms,crunchy,medium,no,yes,yes
E,18,17,mozzarella,new_york,XL,no,yes,yes
E,19,12,smoked_beef,double_decker,medium,yes,yes,yes
E,11,8.5,chicken,classic,small,no,yes,yes
E,12,12,mozzarella,classic,medium,yes,yes,yes
E,14,14,chicken,classic,large,yes,yes,yes
E,15,12,chicken,crunchy,medium,no,no,yes
E,18,17,mushrooms,new_york,XL,yes,no,no
E,19,12,smoked_beef,double_decker,medium,yes,no,no
E,15,8.5,smoked_beef,classic,small,yes,yes,no
E,12,12,mushrooms,classic,medium,yes,yes,no
E,14,14,mozzarella,classic,large,yes,yes,no
E,12,12,smoked_beef,crunchy,medium,no,yes,no
E,15,17,chicken,new_york,XL,no,yes,no
E,16,12,mushrooms,double_decker,medium,no,yes,yes
E,11,8.5,tuna,spicy tuna,small,yes,yes,yes
E,14,12,tuna,spicy tuna,medium,yes,yes,yes
E,17,14,tuna,spicy tuna,large,yes,yes,yes
E,12,8.5,meat,BBQ_meat_fiesta,small,yes,no,yes
E,15,12,meat,BBQ_meat_fiesta,medium,no,no,yes
